date,time,DOY,TimeStamp,CH4
4/16/2017,19:30,106.812,4/16/2017 19:30,NaN
4/16/2017,20:00,106.833,4/16/2017 20:00,NaN
4/16/2017,20:30,106.854,4/16/2017 20:30,11.61457646
4/16/2017,21:00,106.874,4/16/2017 21:00,NaN
4/16/2017,21:30,106.895,4/16/2017 21:30,5.253250214
4/16/2017,22:00,106.916,4/16/2017 22:00,NaN
4/16/2017,22:30,106.937,4/16/2017 22:30,NaN
4/16/2017,23:00,106.958,4/16/2017 23:00,NaN
4/16/2017,23:30,106.979,4/16/2017 23:30,NaN
4/17/2017,0:00,107,4/17/2017 0:00,NaN
4/17/2017,0:30,107.02,4/17/2017 0:30,29.46517338
4/17/2017,1:00,107.041,4/17/2017 1:00,NaN
4/17/2017,1:30,107.062,4/17/2017 1:30,37.00305561
4/17/2017,2:00,107.083,4/17/2017 2:00,NaN
4/17/2017,2:30,107.104,4/17/2017 2:30,NaN
4/17/2017,3:00,107.124,4/17/2017 3:00,NaN
4/17/2017,3:30,107.145,4/17/2017 3:30,NaN
4/17/2017,4:00,107.166,4/17/2017 4:00,6.067645077
4/17/2017,4:30,107.187,4/17/2017 4:30,NaN
4/17/2017,5:00,107.208,4/17/2017 5:00,NaN
4/17/2017,5:30,107.229,4/17/2017 5:30,NaN
4/17/2017,6:00,107.249,4/17/2017 6:00,NaN
4/17/2017,6:30,107.27,4/17/2017 6:30,NaN
4/17/2017,7:00,107.291,4/17/2017 7:00,25.69740737
4/17/2017,7:30,107.312,4/17/2017 7:30,NaN
4/17/2017,8:00,107.333,4/17/2017 8:00,NaN
4/17/2017,8:30,107.354,4/17/2017 8:30,NaN
4/17/2017,9:00,107.374,4/17/2017 9:00,NaN
4/17/2017,9:30,107.395,4/17/2017 9:30,NaN
4/17/2017,10:00,107.416,4/17/2017 10:00,NaN
4/17/2017,10:30,107.437,4/17/2017 10:30,NaN
4/17/2017,11:00,107.458,4/17/2017 11:00,NaN
4/17/2017,11:30,107.479,4/17/2017 11:30,NaN
4/17/2017,12:00,107.499,4/17/2017 12:00,NaN
4/17/2017,12:30,107.52,4/17/2017 12:30,NaN
4/17/2017,13:00,107.541,4/17/2017 13:00,NaN
4/17/2017,13:30,107.562,4/17/2017 13:30,NaN
4/17/2017,14:00,107.583,4/17/2017 14:00,NaN
4/17/2017,14:30,107.604,4/17/2017 14:30,NaN
4/17/2017,15:00,107.624,4/17/2017 15:00,NaN
4/17/2017,15:30,107.645,4/17/2017 15:30,NaN
4/17/2017,16:00,107.666,4/17/2017 16:00,NaN
4/17/2017,16:30,107.687,4/17/2017 16:30,NaN
4/17/2017,17:00,107.708,4/17/2017 17:00,NaN
4/17/2017,17:30,107.729,4/17/2017 17:30,NaN
4/17/2017,18:00,107.749,4/17/2017 18:00,NaN
4/17/2017,18:30,107.77,4/17/2017 18:30,NaN
4/17/2017,19:00,107.791,4/17/2017 19:00,NaN
4/17/2017,19:30,107.812,4/17/2017 19:30,NaN
4/17/2017,20:00,107.833,4/17/2017 20:00,NaN
4/17/2017,20:30,107.854,4/17/2017 20:30,NaN
4/17/2017,21:00,107.874,4/17/2017 21:00,NaN
4/17/2017,21:30,107.895,4/17/2017 21:30,NaN
4/17/2017,22:00,107.916,4/17/2017 22:00,NaN
4/17/2017,22:30,107.937,4/17/2017 22:30,NaN
4/17/2017,23:00,107.958,4/17/2017 23:00,NaN
4/17/2017,23:30,107.979,4/17/2017 23:30,NaN
4/18/2017,0:00,108,4/18/2017 0:00,NaN
4/18/2017,0:30,108.02,4/18/2017 0:30,NaN
4/18/2017,1:00,108.041,4/18/2017 1:00,NaN
4/18/2017,1:30,108.062,4/18/2017 1:30,NaN
4/18/2017,2:00,108.083,4/18/2017 2:00,NaN
4/18/2017,2:30,108.104,4/18/2017 2:30,NaN
4/18/2017,3:00,108.124,4/18/2017 3:00,NaN
4/18/2017,3:30,108.145,4/18/2017 3:30,NaN
4/18/2017,4:00,108.166,4/18/2017 4:00,NaN
4/18/2017,4:30,108.187,4/18/2017 4:30,NaN
4/18/2017,5:00,108.208,4/18/2017 5:00,NaN
4/18/2017,5:30,108.229,4/18/2017 5:30,NaN
4/18/2017,6:00,108.249,4/18/2017 6:00,NaN
4/18/2017,6:30,108.27,4/18/2017 6:30,NaN
4/18/2017,7:00,108.291,4/18/2017 7:00,NaN
4/18/2017,7:30,108.312,4/18/2017 7:30,NaN
4/18/2017,8:00,108.333,4/18/2017 8:00,NaN
4/18/2017,8:30,108.354,4/18/2017 8:30,NaN
4/18/2017,9:00,108.374,4/18/2017 9:00,NaN
4/18/2017,9:30,108.395,4/18/2017 9:30,NaN
4/18/2017,10:00,108.416,4/18/2017 10:00,NaN
4/18/2017,10:30,108.437,4/18/2017 10:30,NaN
4/18/2017,11:00,108.458,4/18/2017 11:00,NaN
4/18/2017,11:30,108.479,4/18/2017 11:30,NaN
4/18/2017,12:00,108.499,4/18/2017 12:00,NaN
4/18/2017,12:30,108.52,4/18/2017 12:30,NaN
4/18/2017,13:00,108.541,4/18/2017 13:00,NaN
4/18/2017,13:30,108.562,4/18/2017 13:30,NaN
4/18/2017,14:00,108.583,4/18/2017 14:00,NaN
4/18/2017,14:30,108.604,4/18/2017 14:30,NaN
4/18/2017,15:00,108.624,4/18/2017 15:00,NaN
4/18/2017,15:30,108.645,4/18/2017 15:30,NaN
